protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
A0A0C4DH34,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A075B6R2,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P0DTW3,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P0DTE1,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0B4J1X5,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0B4J1V6,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0B4J1Y9,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q64268,True,,10116,Extracellular space,,Swiss-Prot,0
P47776,True,,9986,Extracellular space,,Swiss-Prot,0
P49182,True,ECM Regulators|Matrisome-associated,10090,Extracellular space,,Swiss-Prot,0
Q8CGP1,True,,10090,Extracellular space,,Swiss-Prot,0
P47854,True,,9986,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P30782,True,,9986,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q54QR7,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
O70326,True,ECM-affiliated Proteins|Matrisome-associated,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
O73755,True,ECM-affiliated Proteins|Matrisome-associated,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P37141,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6QLR1,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6IV23,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6QLR2,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6QLR3,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6IV26,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
A0A087WSY4,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P01824,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P0DP04,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P56829,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P28169,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q08053,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q08070,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q08072,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q08071,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q29429,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q28595,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q28594,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
